MODEL: models/embedding-gecko-001 | Version: 001
MODEL: models/gemini-2.5-flash | Version: 001
MODEL: models/gemini-2.5-pro | Version: 2.5
MODEL: models/gemini-2.0-flash-exp | Version: 2.0
MODEL: models/gemini-2.0-flash | Version: 2.0
MODEL: models/gemini-2.0-flash-001 | Version: 2.0
MODEL: models/gemini-2.0-flash-exp-image-generation | Version: 2.0
MODEL: models/gemini-2.0-flash-lite-001 | Version: 2.0
MODEL: models/gemini-2.0-flash-lite | Version: 2.0
MODEL: models/gemini-2.0-flash-lite-preview-02-05 | Version: preview-02-05
MODEL: models/gemini-2.0-flash-lite-preview | Version: preview-02-05
MODEL: models/gemini-exp-1206 | Version: 2.5-exp-03-25
MODEL: models/gemini-2.5-flash-preview-tts | Version: gemini-2.5-flash-exp-tts-2025-05-19
MODEL: models/gemini-2.5-pro-preview-tts | Version: gemini-2.5-pro-preview-tts-2025-05-19
MODEL: models/gemma-3-1b-it | Version: 001
MODEL: models/gemma-3-4b-it | Version: 001
MODEL: models/gemma-3-12b-it | Version: 001
MODEL: models/gemma-3-27b-it | Version: 001
MODEL: models/gemma-3n-e4b-it | Version: 001
MODEL: models/gemma-3n-e2b-it | Version: 001
MODEL: models/gemini-flash-latest | Version: Gemini Flash Latest
MODEL: models/gemini-flash-lite-latest | Version: Gemini Flash-Lite Latest
MODEL: models/gemini-pro-latest | Version: Gemini Pro Latest
MODEL: models/gemini-2.5-flash-lite | Version: 001
MODEL: models/gemini-2.5-flash-image-preview | Version: 2.0
MODEL: models/gemini-2.5-flash-image | Version: 2.0
MODEL: models/gemini-2.5-flash-preview-09-2025 | Version: Gemini 2.5 Flash Preview 09-2025
MODEL: models/gemini-2.5-flash-lite-preview-09-2025 | Version: 2.5-preview-09-25
MODEL: models/gemini-3-pro-preview | Version: 3-pro-preview-11-2025
MODEL: models/gemini-3-flash-preview | Version: 3-flash-preview-12-2025
MODEL: models/gemini-3-pro-image-preview | Version: 3.0
MODEL: models/nano-banana-pro-preview | Version: 3.0
MODEL: models/gemini-robotics-er-1.5-preview | Version: 1.5-preview
MODEL: models/gemini-2.5-computer-use-preview-10-2025 | Version: Gemini 2.5 Computer Use Preview 10-2025
MODEL: models/deep-research-pro-preview-12-2025 | Version: deepthink-exp-05-20
MODEL: models/embedding-001 | Version: 001
MODEL: models/text-embedding-004 | Version: 004
MODEL: models/gemini-embedding-exp-03-07 | Version: exp-03-07
MODEL: models/gemini-embedding-exp | Version: exp-03-07
MODEL: models/gemini-embedding-001 | Version: 001
MODEL: models/aqa | Version: 001
MODEL: models/imagen-4.0-generate-preview-06-06 | Version: 01
MODEL: models/imagen-4.0-ultra-generate-preview-06-06 | Version: 01
MODEL: models/imagen-4.0-generate-001 | Version: 001
MODEL: models/imagen-4.0-ultra-generate-001 | Version: 001
MODEL: models/imagen-4.0-fast-generate-001 | Version: 001
MODEL: models/veo-2.0-generate-001 | Version: 2.0
MODEL: models/veo-3.0-generate-001 | Version: 3.0
MODEL: models/veo-3.0-fast-generate-001 | Version: 3.0
MODEL: models/veo-3.1-generate-preview | Version: 3.1
